Id	Desc	Name	SceneResource	DBIndex	SceneRuleID	Type	IsOriginalWorldLoad	IsBigWorldLoad	IsBattleServerLoad	IsBattleCopySceneWorldLoad	Length	Width	Obstacle	Tussock	SceneMapTexture	SceneMapWidth	SceneMapHeight	SceneMapLogicWidth	BGMusic	CopySceneID	CopySceneReEnterable	MaxInstCount	PlayersMaxA	PlayersMaxB	PlayersMaxC	GroupNormalSize	GroupSlowSize	GroupPauseSize	ReliveType_1	ReliveType_2	ReliveType_3	ReliveType_4	Entry_x	Entry_z	Safe_x	Safe_z	ReliveOriginalNum	ReliveEntryNum	EnterSceneEffect	LeaveSceneEffect	WMEnterLevelLimit	EnterNoticeDicID	CanUsePlanScene	PlayerViewRadius	PlayerViewEdgeInc	ChangeTab	SafeAreaIndex	DamageRefixAreaIndex	SeamlessOffSetX	SeamlessOffsetZ	IsSeamlessLoadAll	LoadLevel	IsHideSummonMonster	IsAutoDisableOtherPlayerEffect	OpenNearPlayerLv	CancelGuiDaoGuWangTrans	CancelLieShanTrans	OpenMainUIAutoFade	IsTianHuaFly	ChatPaoMinLevel	InviteeLv	IsMagicSkillOpen
700	跨服-主城	上古演武场	109	259	17	0	0	1	0	0	192	192	./Scene/Yw_Zhanshendian.path		shangguyijie	576	576	192	653	0	0	-1	40	56	-1	8	80	100	1	1	1	1	68.36	48.32	68.36	48.32	-1	-1	1	1	120	-1	1	16	4	0	-1	-1	0	0	0	3	0	0	1	0	0	1	1	0	-1	1
701	跨服组队副本休息室	副本休息室	6	-1	3	1	0	1	0	0	40	40	./Scene/Fb_xiuzhenxianmolu.path		huanyuedongfu	144	144	40	640	0	0	-1	20	28	-1	12	80	100	1	1	0	1	16	23	16	23	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
702	跨服比武休息室	比武休息室	6	-1	3	1	0	1	0	0	40	40	./Scene/Fb_xiuzhenxianmolu.path		huanyuedongfu	144	144	40	640	0	0	-1	20	28	-1	12	80	100	1	1	0	1	16	23	16	23	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	3	0	0	1	0	0	0	1	0	-1	1
703	跨服比武场地	王者争霸	107	-1	8	2	0	1	0	0	64	64	./Scene/Fb_Wangzhezhengba.path		wangzhezhengba	192	192	64	1	82	1	-1	40	56	-1	3	80	100	0	0	0	0	32.39	30	32.39	30	-1	-1	0	0	1	-1	1	1000	4	0	-1	-1	0	0	0	3	0	0	1	0	0	0	1	0	-1	1
704	跨服-王者争霸-擂鼓助战场景	擂鼓助战	6	-1	36	1	1	1	0	0	40	40	./Scene/Fb_xiuzhenxianmolu.path		huanyuedongfu	144	144	40	57	0	0	-1	40	56	-1	10	80	100	1	1	1	1	16	23	16	23	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
705	大世界监狱	监狱-跨服	16	-1	18	1	0	1	0	0	33	33	./Scene/Fb_dixuedong.path		dixuedong	96	96	33	120	0	0	-1	40	56	-1	8	80	100	1	1	0	1	16.38	24.88	16.38	24.88	-1	-1	0	0	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	0
800	日常跨服战场	天道幻境	170	-1	22	2	0	0	1	1	96	96	./Scene/Fb_Kuafubangzhan.path		kuafuzhanchang	480	480	96	316	117	0	-1	40	56	-1	2	80	100	0	1	0	1	15.37	15.26	15.37	15.26	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
801	跨服战场主城	河阳城	7	-1	1	0	0	0	1	1	128	128	./Scene/Zc_Heyangcheng.path		heyangcheng	384	384	128	27	0	0	-1	40	56	-1	8	80	100	1	1	1	1	52	67	52	67	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	1	1	0	-1	1
802	日常跨服战场	都广灵丘	202	-1	22	2	0	0	1	1	116	116	./Scene/fb_zhanchang02.path		fb_zhanchang02	384	384	116	316	189	0	-1	40	56	-1	2	80	100	0	1	0	1	15.37	15.26	15.37	15.26	-1	-1	1	1	1	-1	1	43	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1000	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1001	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1002	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1003	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1004	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1005	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1006	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1007	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1008	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1009	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1010	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1011	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1012	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1013	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1014	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1015	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1016	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1017	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1018	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1019	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1020	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1021	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1022	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1023	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1024	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1025	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1026	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1027	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1028	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1029	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1030	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1031	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1032	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1033	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1034	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1035	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1036	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1037	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1038	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1039	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1040	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1041	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1042	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1043	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1044	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1045	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1046	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1047	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1048	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1049	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1050	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1051	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1052	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1053	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1054	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1055	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1056	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1057	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1058	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1059	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1060	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1061	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1062	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1063	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1064	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1065	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1066	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1067	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
1068	帮派属地（1000-1500	帮派属地	10	-1	5	3	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	64	0	0	-1	20	28	-1	12	80	100	1	1	0	1	32	32	32	32	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
